BankNo,BANKCODE,BANKNAME,SWIFTCODE,BRANCH,ADDRESS1,ADDRESS2,OurBankAcc,OurBankAcc2
539,670101,BOT,NULL,Head Office,DSM,NULL,NULL,NULL
540,730102,BOT,NULL,Arusha,ARUSHA,NULL,NULL,NULL
541,790103,BOT,NULL,Mwanza,MWANZA,NULL,NULL,NULL
542,910104,BOT,NULL,Zanzibar,ZANZIBAR,NULL,NULL,NULL
543,850105,BOT,NULL,Mbeya,MBEYA,NULL,NULL,NULL
544,670301,"CRDB  BANK  LTD    ",NULL,"Lumumba   ",DSM,NULL,NULL,NULL
545,670306,"CRDB  BANK  LTD    ",NULL,"Tanga        ",TANGA,NULL,NULL,NULL
546,670307,"CRDB  BANK  LTD    ",NULL,"Morogoro    ",MOROGORO,NULL,NULL,NULL
547,670310,"CRDB  BANK  LTD    ",NULL,"Lindi        ",LINDI,NULL,NULL,NULL
548,670312,"CRDB  BANK  LTD    ",NULL,"Vijana     ",DSM,NULL,NULL,NULL
549,670314,"CRDB  BANK  LTD    ",NULL,"Azikiwe    ",DSM,NULL,NULL,NULL
550,670315,"CRDB  BANK  LTD    ",NULL,Dodoma,DODOMA,NULL,NULL,NULL
551,670316,"CRDB  BANK  LTD    ",NULL,Mtwara,MTWARA,NULL,NULL,NULL
552,670319,"CRDB  BANK  LTD    ",NULL,"Holand H'se   ",DSM,NULL,NULL,NULL
553,670324,"CRDB  BANK  LTD    ",NULL,"Tower  H'se   ",DSM,NULL,NULL,NULL
554,670326,"CRDB  BANK  LTD    ",NULL,Central Clearence,DSM,NULL,NULL,NULL
555,670329,"CRDB  BANK  LTD    ",NULL,Kijitonyama,DSM,NULL,NULL,NULL
556,670336,"CRDB  BANK  LTD    ",NULL,UDSM,DSM,NULL,NULL,NULL
557,670338,"CRDB  BANK  LTD    ",NULL,Mzume,MOROGORO,NULL,NULL,NULL
558,670339,"CRDB  BANK  LTD    ",NULL,Mandela,MOROGORO,NULL,NULL,NULL
559,730303,"CRDB  BANK  LTD    ",NULL,Singida,SINGIDA,NULL,NULL,NULL
