PayntNo,desc
1,Task Allowance
2,Training Allowance
3,Medical Allowance
4,Acting Allowance
5,Settling Allowance
6,Meal Allowance
7,Transport allow
8,Medical Allowance
9,Long Serving allowance
10,House Rent allowance
11,Leave Allowance
12,Teller Allowance
13,Arrear_Training allowance
14,Arrears_Rescue allowance
15,Per'Bonus
16,In Liue Pay
17,5% Sev. All
18,Cost of Living
19,Serevance Pay
20,March Salary
21,Severance Pay
22,Discr Exgracia
23,Overtime Allowance
24,Repatriation Allowance
25,Milk Allowance
26,Air Ticket allowance
27,Task Allowance
28,Teller Allowance
